Вопрос,Правильный ответ,Вариант 2,Вариант 3,Вариант 4,Количество баллов,
Для чего изначально создавался Java?,Для интерактивного телевидения,Для программирования мультиварок,Для программирования роботов из будущего,"Для того, чтобы стать лучшим языком программирования в мире",1,
Первое название Java – это..? ,Oak,Smalltalk,Coffee,Coffee Tree,1,
Кто разрабатывал Java? ,Джеймс Гослинг,Райан Гослинг,Расс Кокс,Джеймс Кемерон,2,
Самый популярный язык программирования в 2017 году – это..?,Java,brainfuck,C,PHP,1,
Что должен носить с собой каждый программист по мнению Грейс Хоппер?,Ожерелье длиной в микросекунду,Калькулятор,Книгу по ассемблеру,Щетку для соскребания жуков с перфокарт,2,
Какая из этих игр написана на Java?,Minecraft,World of Warcraft,Sims 2,Tetris,2,
"Как зовут пингвина, символ Linux?",Такс,Толстячок,Фин,Дюк,1,
Язык программирования – предшественник языка С – это..?,B,C-C,N/C,Не было такого,2,
Как изначально назывался язык С++?,С с классами,всегда был С++,С--,C plus plus,1,
Backrub – это..?,Первое название Google,Название любимых конфет программистов,Заклинание в Гарри Поттере,Команда в C++,1,
"На чем был написана игра ""Тамагочи""?",Ассемблер,C,Java,Python,2,
Язык программирования Python назван в честь...,"Сериала ""Летающий цирк Монти Пайтона""",змеи – питона,"напитка, который автор любил в детстве ""Python Long""","фирмы кожзам изделий ""Python for everyone""",1,
Первый в мире программист – это...,Ада Августа Лавлейс,Эдсгер Вибе Дейкстра,Бьерн Страуструп,Никлаус Вирт,1,
Монада – это ...,моноид в моноидальной категории эндофункторов,мочеполовое заболевание,какая-то хрень в хаскеле,библиотека на JS,2,
Почему символ Linux – пингвин..?,Создателя в детстве укусил пингвин,Остальные животные были заняты,Его просто нарисовать,у него тоже красные глаза,1,
Для чего в PHP используется символ @ ? ,Для подавления ошибок,Для морального успокоения,Для красоты,Не используется,2,
"Существуют PHP5, PHP7. Что с PHP6?","Не был выпущен, т.к. разработчики хотели сильно переделать работу с юникодом, но потом забили, ибо овчинка выделки не стоит. Но чтобы не путать народ, сделали сразу PHP7",Он тоже существует,Ошибка в нумерации. Его пропустили случайно,"Обновление выпускали 6 июня 2006 года, не хотели выглядеть клоунами",1,
Для чего использовалась первая веб-камера?,Чтобы следить за количеством кофе в кофеварке,Чтобы смотреть за котейками,Вместо сигнализации в доме,Для прохождения интервью,1,
Почему Элтон Джон ненавидит интернет?,Из-за интернета качество творчества падает,Из-за пиратской музыки,"Из-за того, что его расстраивают мемы о нем","Из-за того, что бумажные письма почти вымерли, а он так их любил",2,
"Что на эскимосском языке означает слово ""ikiaqqivik""?",Интернет,Facebook,Программирование,Электронное письмо,1,
Правильное название аэропорта калифорнийского города Сан-Карлос – это..?,SQL,MySQL,SDL,SMS,1,
Откуда появилось название Oracle? ,"Это название проекта в ЦРУ, над которым раньше работал создатель Oracle ",Его создателю предсказала гадалка за год до,Создатель очень любил ходить на игры любимой команды в Oracle Arena в Окленде,Это название любимого фильма создателя ,1,
Почему не существует первой версии Oracle? ,"Создатели боялись, что первая версия не заинтересует покупателей. И хотели обогнать конкурентов",Первая версия существовала,"Создатели выпустили анонс в СМИ, но допустили ошибку в названии. Пришлось жить так","Гадалка нагадала, что V1 провалится",1,
На чем была написана первая (по счету) версия Oracle?,Ассемблер,C,Ada,Scala,1,
"По словам разработчиков игры, для чего была создана Pokemon Go?","Помочь людям, страдающим от депрессии, тревоги и приступов паники",Чтобы возродить тему покемонов,Чтобы отпраздновать юбилей создания игры,Чтобы собрать много денег,1,
Что такое Deep Learning? ,Уровень технологий машинного обучения ,Название музыкальной группы,Углубленная версия изучения любого языка программирования,Раздел на PornHub,1,
Какая компания создала язык Go?,Google,ВКонтакте,Одноклассники,PornHub,1,
Как называется IDE для программистов Go?,Gogland,GoWorld,Go-Go,Go_,1,
Почему создатели Go исключили поддержку Try-Catch в языке?,Он провоцирует программиста на игнорирование ошибок,Создатели считают что слишком большая вложенность – плохо,Хотели отличаться от Java и C++,"Они не против try-catch, но пока не придумали, как правильно ее реализовать",3,
Кто создал первую вычислительную машину,Бэббидж,Тьюринг,Тесла,Шеннон,2,
"Способ, которым в компьютере обычно представлены целые числа со знаком",Дополнительный код,Обратный код,Прямой код,Кольцевой код,2,
Песня Джонатана Коултона про программиста называется..?,Code Monkey,HardCode,Code or Die,It's raining code,2,
Один символ в таблице ASCII занимает,7 бит,88 бит,16 бит,32 бит,2,
Что необычного в языке Shakespeare? ,маскирует исходный код программы под пьесы Шекспира,Его используют для создания и поддержки литературных сайтов ,Его придумал фанат Шекспира,"Код, написанный на этом языке, автоматически строит рифмы ",2,
"Язык программирования, программы написанные на котором практически невозможно скомпилить?",Befunge,JavaScript,ALGOL 68,С++,2,
Чем примечателен язык программирования WhiteSpace?,для управляющих конструкций используются только непечатаемые символы,"Тем, что он не существует","Разметка только пробелами, при использовании табуляции программа не компилируется","Смысловую нагрузку несут только пробелы: количество их в последовательностях, а разделены они могут быть любыми другими знаками",2,
Самый тонкий ноутбук в мире по версии Книги рекордов Гиннеса – это..?,Dell Adamo XPS,MacBook Air,Asus ZenBook,HP Spectre,2,
"Каким было самое большое расстояние между двумя компьютерами, которые удалось соединить по Wi-Fi?","88,6 километров","2,5 километров",400 метров,43 километра,2,
Кто такой Канеюки Ямагучи?,"Программист, проработавший на одном месте 49 лет","Программист, создавший первый браузер","Инженер, создавший язык С","Единственный программист, работающий в PornHub",1,
Сколько бит в байте?,8,1,2,32,1,
Первый ноутбук назывался...,Grid Compass 1100,Apple Lisa,IBM PC Convertible,Power Series Books,1,
"Как называется алгоритм, на котором работает поиск Google?",PageRank,ТИЦ,BigData,DataLake,2,
Какой процессор появился раньше,Intel 8086,Intel 80808,Intel Pentium 50,Intel Celeron 266,3,
Что такое таблица виртуальных методов?,"механизм, используемый в языках программирования для поддержки динамического соответствия (или метода позднего связывания)","Механизм, 
обеспечивающий работу
 с макросами в C++",Такой таблицы не существует,"Таблица в памяти,
которая используется 
в IDE для отображения
подсказок",3,
(не a) или (не b),не (a и b),не (а или b),(не a) или b,a или (не b),3,
